date,oil_rate
2020-01-01,520
2020-02-01,485
2020-03-01,462
2020-04-01,440
2020-05-01,418
2020-06-01,398
2020-07-01,381
2020-08-01,365
2020-09-01,350
2020-10-01,336
2020-11-01,322
2020-12-01,310
2021-01-01,298
2021-02-01,287
2021-03-01,277
2021-04-01,267
2021-05-01,258
2021-06-01,249
2021-07-01,241
2021-08-01,233
2021-09-01,225
2021-10-01,218
2021-11-01,212
2021-12-01,206
2022-01-01,200
2022-02-01,194
2022-03-01,189
2022-04-01,184
2022-05-01,179
2022-06-01,174
2022-07-01,170
2022-08-01,166
2022-09-01,162
2022-10-01,158
2022-11-01,155
2022-12-01,151
